receptor_id,redocking_validation_tier,vina_affinity_kcal_mol,spatial_assignment_rmsd_A,centroid_shift_A,contact_recovery_percent,new_contact_percent_of_docked,contact_jaccard,pocket_alignment_rmsd_A,pocket_alignment_risk
buried_0_model_2_sample4_model,Tier_A_high_confidence_recovered_pose,-5.19,1.394,0.992,100.0,7.1429,0.9286,0.4014,Acceptable_pocket_alignment
buried_3_model_1_sample8_model,Tier_A_high_confidence_recovered_pose,-5.784,0.8091,0.6928,100.0,8.3333,0.9167,0.3144,Acceptable_pocket_alignment
buried_1_model_3_sample1_model,Tier_A_high_confidence_recovered_pose,-5.886,1.0507,0.1928,100.0,8.3333,0.9167,0.3235,Acceptable_pocket_alignment
buried_9_model_6_sample6_model,Tier_A_high_confidence_recovered_pose,-6.4,1.1965,0.5532,100.0,13.3333,0.8667,0.4535,Acceptable_pocket_alignment
buried_0_model_5_sample7_model,Tier_A_high_confidence_recovered_pose,-7.191,1.2827,0.6466,100.0,14.2857,0.8571,0.1809,Acceptable_pocket_alignment
buried_6_model_4_sample7_model,Tier_A_high_confidence_recovered_pose,-5.231,1.0623,0.8035,100.0,16.6667,0.8333,0.6953,Acceptable_pocket_alignment
buried_1_model_5_sample2_model,Tier_A_high_confidence_recovered_pose,-6.964,0.7057,0.0495,93.3333,0.0,0.9333,0.4034,Acceptable_pocket_alignment
buried_2_model_3_sample1_model,Tier_A_high_confidence_recovered_pose,-6.129,1.0858,0.8237,92.8571,0.0,0.9286,0.3666,Acceptable_pocket_alignment
buried_2_model_2_sample8_model,Tier_A_high_confidence_recovered_pose,-7.953,1.2113,0.7126,92.8571,7.1429,0.8667,0.3185,Acceptable_pocket_alignment
buried_3_model_3_sample7_model,Tier_A_high_confidence_recovered_pose,-6.904,0.7524,0.5553,92.8571,13.3333,0.8125,0.4347,Acceptable_pocket_alignment
buried_1_model_9_sample1_model,Tier_A_high_confidence_recovered_pose,-6.733,0.7662,0.5023,91.6667,8.3333,0.8462,0.4616,Acceptable_pocket_alignment
buried_9_model_9_sample7_model,Tier_A_high_confidence_recovered_pose,-6.813,1.0878,0.7122,90.9091,16.6667,0.7692,0.3439,Acceptable_pocket_alignment
buried_5_model_3_sample4_model,Tier_A_high_confidence_recovered_pose,-5.947,1.2678,0.6202,90.9091,16.6667,0.7692,0.3118,Acceptable_pocket_alignment
buried_0_model_0_sample1_model,Tier_A_high_confidence_recovered_pose,-5.184,1.4543,0.6826,90.0,0.0,0.9,0.3768,Acceptable_pocket_alignment
buried_6_model_1_sample4_model,Tier_A_high_confidence_recovered_pose,-5.172,1.1451,0.9849,83.3333,9.0909,0.7692,0.5388,Acceptable_pocket_alignment
buried_5_model_4_sample4_model,Tier_B_supported_pose,-6.438,1.4733,1.1607,100.0,21.4286,0.7857,0.4136,Acceptable_pocket_alignment
buried_8_model_4_sample3_model,Tier_B_supported_pose,-5.347,2.1211,1.7642,92.8571,0.0,0.9286,0.5925,Acceptable_pocket_alignment
buried_5_model_1_sample2_model,Tier_B_supported_pose,-6.857,1.2843,1.0023,92.3077,14.2857,0.8,0.3954,Acceptable_pocket_alignment
buried_2_model_5_sample6_model,Tier_B_supported_pose,-6.917,1.1882,0.9452,91.6667,21.4286,0.7333,0.449,Acceptable_pocket_alignment
