"receptor_id","docking_status","best_affinity_kcal_mol","output_created","alignment_rmsd_A","pocket_alignment_risk","output_file","log_file"
"buried_0_model_5_sample7_model","completed","-7.274","True","0.4493","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_0_model_5_sample7_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_0_model_5_sample7_model_QUE.log"
"buried_0_model_7_sample1_model","completed","-8.745","True","0.6337","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_0_model_7_sample1_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_0_model_7_sample1_model_QUE.log"
"buried_0_model_9_sample9_model","completed","-6.806","True","0.578","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_0_model_9_sample9_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_0_model_9_sample9_model_QUE.log"
"buried_1_model_0_sample8_model","completed","-8.635","True","0.381","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_1_model_0_sample8_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_1_model_0_sample8_model_QUE.log"
"buried_1_model_1_sample1_model","completed","-9.044","True","0.4203","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_1_model_1_sample1_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_1_model_1_sample1_model_QUE.log"
"buried_2_model_2_sample1_model","completed","-8.488","True","0.4725","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_2_model_2_sample1_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_2_model_2_sample1_model_QUE.log"
"buried_2_model_8_sample3_model","completed","-7.333","True","0.9496","Borderline_pocket_deviation","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_2_model_8_sample3_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_2_model_8_sample3_model_QUE.log"
"buried_2_model_9_sample3_model","completed","-5.371","True","0.4","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_2_model_9_sample3_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_2_model_9_sample3_model_QUE.log"
"buried_3_model_5_sample5_model","completed","-7.378","True","0.6645","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_3_model_5_sample5_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_3_model_5_sample5_model_QUE.log"
"buried_3_model_6_sample3_model","completed","-8.976","True","0.544","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_3_model_6_sample3_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_3_model_6_sample3_model_QUE.log"
"buried_4_model_0_sample9_model","completed","-6.997","True","0.3222","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_4_model_0_sample9_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_4_model_0_sample9_model_QUE.log"
"buried_4_model_3_sample8_model","completed","-8.275","True","0.3242","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_4_model_3_sample8_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_4_model_3_sample8_model_QUE.log"
"buried_4_model_4_sample7_model","completed","-5.962","True","0.4092","Acceptable_pocket_alignment","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\outputs_pdbqt\buried_4_model_4_sample7_model_QUE_out.pdbqt","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Docking_30_Formal\logs\buried_4_model_4_sample7_model_QUE.log"
