receptor_id,vina_affinity_kcal_mol,pocket_alignment_rmsd_A,pocket_alignment_risk,poses_in_original_sdf,QUE_heavy_atom_count
buried_0_model_5_sample7_model,-7.274,0.4493,Acceptable_pocket_alignment,10,22
buried_0_model_7_sample1_model,-8.745,0.6337,Acceptable_pocket_alignment,10,22
buried_0_model_9_sample9_model,-6.806,0.578,Acceptable_pocket_alignment,10,22
buried_1_model_0_sample8_model,-8.635,0.381,Acceptable_pocket_alignment,10,22
buried_1_model_1_sample1_model,-9.044,0.4203,Acceptable_pocket_alignment,9,22
buried_2_model_2_sample1_model,-8.488,0.4725,Acceptable_pocket_alignment,10,22
buried_2_model_8_sample3_model,-7.333,0.9496,Borderline_pocket_deviation,10,22
buried_2_model_9_sample3_model,-5.371,0.4,Acceptable_pocket_alignment,10,22
buried_3_model_5_sample5_model,-7.378,0.6645,Acceptable_pocket_alignment,10,22
buried_3_model_6_sample3_model,-8.976,0.544,Acceptable_pocket_alignment,10,22
buried_4_model_0_sample9_model,-6.997,0.3222,Acceptable_pocket_alignment,10,22
buried_4_model_3_sample8_model,-8.275,0.3242,Acceptable_pocket_alignment,10,22
buried_4_model_4_sample7_model,-5.962,0.4092,Acceptable_pocket_alignment,10,22
buried_4_model_5_sample1_model,-8.487,0.569,Acceptable_pocket_alignment,10,22
buried_4_model_6_sample7_model,-8.981,0.8668,Borderline_pocket_deviation,10,22
buried_5_model_0_sample5_model,-8.664,0.379,Acceptable_pocket_alignment,10,22
buried_5_model_1_sample4_model,-5.899,0.6139,Acceptable_pocket_alignment,10,22
buried_5_model_3_sample6_model,-7.811,1.6319,High_risk_pocket_deviation,10,22
buried_5_model_6_sample8_model,-7.745,0.4773,Acceptable_pocket_alignment,10,22
buried_5_model_9_sample7_model,-5.921,0.453,Acceptable_pocket_alignment,10,22
buried_6_model_1_sample5_model,-7.895,0.4636,Acceptable_pocket_alignment,10,22
buried_6_model_3_sample2_model,-9.082,0.6459,Acceptable_pocket_alignment,10,22
buried_6_model_5_sample3_model,-9.284,0.2934,Acceptable_pocket_alignment,9,22
buried_6_model_7_sample10_model,-8.115,0.3979,Acceptable_pocket_alignment,8,22
buried_6_model_8_sample9_model,-8.035,0.5645,Acceptable_pocket_alignment,10,22
buried_7_model_0_sample3_model,-7.779,0.5113,Acceptable_pocket_alignment,10,22
buried_7_model_2_sample4_model,-8.255,0.3662,Acceptable_pocket_alignment,10,22
buried_7_model_7_sample5_model,-7.231,0.5293,Acceptable_pocket_alignment,10,22
buried_7_model_9_sample4_model,-8.519,0.6061,Acceptable_pocket_alignment,10,22
buried_8_model_2_sample7_model,-5.279,0.452,Acceptable_pocket_alignment,10,22
