"Selected_Name","Backbone_Name","Design_Index","RF3_Sample_Number","RF3_Expected_Stem","Receptor_Found","Receptor_File_Type","Receptor_Ready_PDBQT","Receptor_Path","RFD3_Expected_Stem","RFD3_Complex_Found","RFD3_File_Type","RFD3_Complex_Path"
"buried_0_model_5_6","buried_0_model_5","6","7","buried_0_model_5_sample7_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_5_sample7_model.cif","buried_0_model_5","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_5.cif"
"buried_1_model_0_7","buried_1_model_0","7","8","buried_1_model_0_sample8_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_1_model_0_sample8_model.cif","buried_1_model_0","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_1_model_0.cif"
"buried_3_model_5_4","buried_3_model_5","4","5","buried_3_model_5_sample5_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_3_model_5_sample5_model.cif","buried_3_model_5","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_3_model_5.cif"
"buried_4_model_0_8","buried_4_model_0","8","9","buried_4_model_0_sample9_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_0_sample9_model.cif","buried_4_model_0","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_0.cif"
"buried_5_model_1_3","buried_5_model_1","3","4","buried_5_model_1_sample4_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_1_sample4_model.cif","buried_5_model_1","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_1.cif"
"buried_5_model_6_7","buried_5_model_6","7","8","buried_5_model_6_sample8_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_6_sample8_model.cif","buried_5_model_6","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_6.cif"
"buried_5_model_9_6","buried_5_model_9","6","7","buried_5_model_9_sample7_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_5_model_9_sample7_model.cif","buried_5_model_9","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_5_model_9.cif"
"buried_6_model_5_2","buried_6_model_5","2","3","buried_6_model_5_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_5_sample3_model.cif","buried_6_model_5","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_5.cif"
"buried_7_model_7_4","buried_7_model_7","4","5","buried_7_model_7_sample5_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_7_sample5_model.cif","buried_7_model_7","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_7.cif"
"buried_7_model_9_3","buried_7_model_9","3","4","buried_7_model_9_sample4_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_9_sample4_model.cif","buried_7_model_9","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_9.cif"
"buried_8_model_1_7","buried_8_model_1","7","8","buried_8_model_1_sample8_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_8_model_1_sample8_model.cif","buried_8_model_1","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_8_model_1.cif"
"buried_0_model_7_0","buried_0_model_7","0","1","buried_0_model_7_sample1_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_7_sample1_model.cif","buried_0_model_7","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_7.cif"
"buried_0_model_9_8","buried_0_model_9","8","9","buried_0_model_9_sample9_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_9_sample9_model.cif","buried_0_model_9","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_9.cif"
"buried_1_model_1_0","buried_1_model_1","0","1","buried_1_model_1_sample1_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_1_model_1_sample1_model.cif","buried_1_model_1","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_1_model_1.cif"
"buried_2_model_2_0","buried_2_model_2","0","1","buried_2_model_2_sample1_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_2_sample1_model.cif","buried_2_model_2","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_2.cif"
"buried_2_model_8_2","buried_2_model_8","2","3","buried_2_model_8_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_8_sample3_model.cif","buried_2_model_8","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_8.cif"
"buried_2_model_9_2","buried_2_model_9","2","3","buried_2_model_9_sample3_model","True",".cif","False","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_9_sample3_model.cif","buried_2_model_9","True",".cif","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_9.cif"
