backbone_id,netsolp_file,protparam_file,rf3_file,triplet_complete,audit_note
buried_0_model_0,buried_0_model_0.txt,buried_0_model_0_ProtParam_results.xlsx,buried_0_model_0_RF3_metrics.csv,Yes,
buried_0_model_2,buried_0_model_2.txt,buried_0_model_2_ProtParam_results.xlsx,buried_0_model_2_RF3_metrics.csv,Yes,
buried_0_model_3,buried_0_model_3.txt,buried_0_model_3_ProtParam_results.xlsx,buried_0_model_3_RF3_metrics.csv,Yes,
buried_0_model_4,buried_0_model_4.txt,buried_0_model_4_ProtParam_results.xlsx,buried_0_model_4_RF3_metrics.csv,Yes,
buried_0_model_5,buried_0_model_5.txt,buried_0_model_5_ProtParam_results.xlsx,buried_0_model_5_RF3_metrics.csv,Yes,
buried_0_model_6,buried_0_model_6.txt,buried_0_model_6_ProtParam_results.xlsx,buried_0_model_6_RF3_metrics.csv,Yes,
buried_0_model_7,buried_0_model_7.txt,buried_0_model_7_ProtParam_results.xlsx,buried_0_model_7_RF3_metrics.csv,Yes,
buried_0_model_8,buried_0_model_8.txt,buried_0_model_8_ProtParam_results.xlsx,buried_0_model_8_RF3_metrics.csv,Yes,
buried_1_model_0,buried_1_model_0.txt,buried_1_model_0_ProtParam_results.xlsx,buried_1_model_0_RF3_metrics.csv,Yes,
buried_1_model_3,buried_1_model_3.txt,buried_1_model_3_ProtParam_results.xlsx,buried_1_model_3_RF3_metrics.csv,Yes,
buried_1_model_5,buried_1_model_5.txt,buried_1_model_5_ProtParam_results.xlsx,buried_1_model_5_RF3_metrics.csv,Yes,
buried_1_model_6,buried_1_model_6.txt,buried_1_model_6_ProtParam_results.xlsx,buried_1_model_6_RF3_metrics.csv,Yes,
buried_1_model_7,buried_1_model_7.txt,buried_1_model_7_ProtParam_results.xlsx,buried_1_model_7_RF3_metrics.csv,Yes,
buried_1_model_9,buried_1_model_9.txt,buried_1_model_9_ProtParam_results.xlsx,buried_1_model_9_RF3_metrics.csv,Yes,
buried_2_model_2,buried_2_model_2.txt,buried_2_model_2_ProtParam_results.xlsx,buried_2_model_2_RF3_metrics.csv,Yes,
buried_2_model_3,buried_2_model_3.txt,buried_2_model_3_ProtParam_results.xlsx,buried_2_model_3_RF3_metrics.csv,Yes,
buried_2_model_4,buried_2_model_4.txt,buried_2_model_4_ProtParam_results.xlsx,buried_2_model_4_RF3_metrics.csv,Yes,
buried_2_model_5,buried_2_model_5.txt,buried_2_model_5_ProtParam_results.xlsx,buried_2_model_5_RF3_metrics.csv,Yes,
buried_2_model_7,buried_2_model_7.txt,buried_2_model_7_ProtParam_results.xlsx,buried_2_model_7_RF3_metrics.csv,Yes,
buried_2_model_8,buried_2_model_8.txt,buried_2_model_8_ProtParam_results.xlsx,buried_2_model_8_RF3_metrics.csv,Yes,
buried_2_model_9,buried_2_model_9.txt,buried_2_model_9_ProtParam_results.xlsx,buried_2_model_9_RF3_metrics.csv,Yes,
buried_3_model_0,buried_3_model_0.txt,buried_3_model_0_ProtParam_results.xlsx,buried_3_model_0_RF3_metrics.csv,Yes,
buried_3_model_1,buried_3_model_1.txt,buried_3_model_1_ProtParam_results.xlsx,buried_3_model_1_RF3_metrics.csv,Yes,
buried_3_model_2,buried_3_model_2.txt,buried_3_model_2_ProtParam_results.xlsx,buried_3_model_2_RF3_metrics.csv,Yes,
buried_3_model_3,buried_3_model_3.txt,buried_3_model_3_ProtParam_results.xlsx,buried_3_model_3_RF3_metrics.csv,Yes,
buried_3_model_5,buried_3_model_5.txt,buried_3_model_5_ProtParam_results.xlsx,buried_3_model_5_RF3_metrics.csv,Yes,
buried_3_model_7,buried_3_model_7.txt,buried_3_model_7_ProtParam_results.xlsx,buried_3_model_7_RF3_metrics.csv,Yes,
buried_3_model_8,buried_3_model_8.txt,buried_3_model_8_ProtParam_results.xlsx,buried_3_model_8_RF3_metrics.csv,Yes,
buried_3_model_9,buried_3_model_9.txt,buried_3_model_9_ProtParam_results.xlsx,buried_3_model_9_RF3_metrics.csv,Yes,
buried_4_model_0,buried_4_model_0.txt,buried_4_model_0_ProtParam_results.xlsx,buried_4_model_0_RF3_metrics.csv,Yes,
buried_4_model_2,buried_4_model_2.txt,buried_4_model_2_ProtParam_results.xlsx,buried_4_model_2_RF3_metrics.csv,Yes,
