Sequence ID	solubility	usability
buried_5_model_0_b0_d0	0.9139711946495538	0.5729842888770103
buried_5_model_0_b0_d1	0.8757792161967608	0.5485491095949817
buried_5_model_0_b0_d2	0.88356447144293	0.543076197738922
buried_5_model_0_b0_d3	0.875116918699713	0.5490435878288705
buried_5_model_0_b0_d4	0.8912346436954695	0.5447063223862338
buried_5_model_0_b0_d5	0.906917059656006	0.5774313371375961
buried_5_model_0_b0_d6	0.9112852046069052	0.5888127650511473
buried_5_model_0_b0_d7	0.9115311581268684	0.6024824249375854
buried_5_model_0_b0_d8	0.8561410059004263	0.4814121077907822
buried_5_model_0_b0_d9	0.9043556612152122	0.5620990947029469
