backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_0_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_6_5,buried_0_model_6_0,1,86.6667,0.2632,0.4519,1.7314,38.8,Stable,>10 h,0.8889192445467822,0.5498064216522387
buried_1_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Redesign_required_no_stable_candidate,buried_1_model_4_9,buried_1_model_4_6,1,100.0,0.55,0.4524,0.4421,60.6,Potentially unstable,>10 h,0.9280652051506784,0.6249122476341878
buried_1_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_1_model_5_7,buried_1_model_5_4,6,88.2353,0.7368,0.5714,2.3045,29.87,Stable,>10 h,0.8172319584454625,0.5048055822051393
buried_1_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_1_model_8_9,buried_1_model_8_0,1,100.0,0.3333,0.5079,0.6205,20.48,Stable,>10 h,0.9133771038183892,0.5971027453464245
buried_2_model_3,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_2_model_3_1,,0,100.0,0.5882,0.4752,0.4037,54.54,Potentially unstable,>10 h,0.9204246719373076,0.6449299834238468
buried_3_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_3_model_4_7,buried_3_model_4_5,1,94.1176,0.5789,0.4759,0.9471,33.07,Stable,>10 h,0.928681778512376,0.7211330386455002
buried_3_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_3_model_7_4,,0,88.8889,0.55,0.4621,0.4091,40.91,Potentially unstable,>10 h,0.8273925330015446,0.5721217819167095
buried_4_model_1,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_4_model_1_4,buried_4_model_1_2,0,93.75,0.625,0.4035,1.1026,46.04,Potentially unstable,>10 h,0.7975975068557679,0.4672093430725468
buried_4_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_4_model_7_0,buried_4_model_7_6,18,78.5714,0.2143,0.4825,2.1176,28.55,Stable,>10 h,0.9262346300786806,0.6897941244531227
buried_4_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_4_model_9_1,buried_4_model_9_2,14,94.1176,0.5556,0.4825,1.8177,27.21,Stable,>10 h,0.8694594237415048,0.5090559724234007
buried_5_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_4_6,buried_5_model_4_7,4,78.9474,0.4286,0.3982,0.5918,36.54,Stable,>10 h,0.8453296870722278,0.4969484930203042
buried_5_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_5_1,buried_5_model_5_7,10,87.5,0.4091,0.5664,1.5643,7.09,Stable,>10 h,0.7675632145759292,0.4950631892468463
buried_5_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_7_8,buried_5_model_7_5,1,100.0,0.4211,0.5221,0.7545,22.79,Stable,>10 h,0.8865212612342864,0.5563004280622984
buried_5_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_8_2,buried_5_model_8_0,1,94.7368,0.45,0.4248,0.4108,34.58,Stable,>10 h,0.9014932749999434,0.5973586371465028
buried_6_model_0,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_6_model_0_9,buried_6_model_0_0,0,93.75,0.3182,0.4812,0.6143,52.96,Potentially unstable,2 min,0.8910534238829533,0.6248355498284571
buried_6_model_2,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_2_5,buried_6_model_2_4,3,73.6842,0.5238,0.594,1.7642,22.94,Stable,>10 h,0.879887311453102,0.5505212408550594
buried_6_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_4_2,buried_6_model_4_6,2,86.6667,0.4737,0.5414,0.727,27.97,Stable,>10 h,0.9305993481639376,0.6136850931123182
buried_6_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_6_2,buried_6_model_6_4,10,38.8889,0.5263,0.6316,9.2989,18.35,Stable,>10 h,0.8204467406943394,0.5075875305981336
buried_8_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_5_6,buried_8_model_5_3,1,66.6667,0.5263,0.6042,1.0668,23.47,Stable,>10 h,0.8358192864989007,0.3352322054677725
buried_8_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_7_3,buried_8_model_7_2,8,100.0,0.3333,0.5417,0.9949,29.96,Stable,>10 h,0.8904848096382274,0.5664708658912188
buried_8_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_8_5,,7,94.1176,0.2381,0.3611,0.3291,32.28,Stable,>10 h,0.9162583716556916,0.6278633194542667
buried_8_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_9_6,buried_8_model_9_7,1,75.0,0.4737,0.5208,1.7908,28.74,Stable,>10 h,0.7366198117965391,0.4682849609211866
buried_9_model_3,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_9_model_3_2,buried_9_model_3_9,2,46.6667,0.619,0.553,4.5737,22.6,Stable,>10 h,0.7946010728439383,0.4208959721003555
