backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_0_model_5,Strict_selected,buried_0_model_5_6,buried_0_model_5_b0_d6,7,3,7,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4667,0.4615,0.4979,35.21,Stable,>10 h,0.8090796391283467,0.4475967878375438
buried_0_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_6_5,buried_0_model_6_0,1,86.6667,0.2632,0.4519,1.7314,38.8,Stable,>10 h,0.8889192445467822,0.5498064216522387
buried_0_model_7,Conditional_selected,buried_0_model_7_0,buried_0_model_7_b0_d0,1,0,7,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,95.0,0.6522,0.6058,0.6781,26.21,Stable,>10 h,0.8298215950677928,0.4593640215564815
buried_0_model_9,Conditional_selected,buried_0_model_9_8,buried_0_model_9_b0_d8,9,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,88.8889,0.35,0.4423,0.6523,23.54,Stable,>10 h,0.9076916434586728,0.7512296390945583
buried_1_model_0,Strict_selected,buried_1_model_0_7,buried_1_model_0_b0_d7,8,1,6,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4348,0.4365,0.4451,33.27,Stable,2 min,0.9139999743225988,0.7570547107206858
buried_1_model_1,Conditional_selected,buried_1_model_1_0,buried_1_model_1_b0_d0,1,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,80.0,0.6818,0.5476,0.49,17.24,Stable,>10 h,0.8697853604610428,0.5189431326584769
buried_1_model_4,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Redesign_required_no_stable_candidate,buried_1_model_4_9,buried_1_model_4_6,1,100.0,0.55,0.4524,0.4421,60.6,Potentially unstable,>10 h,0.9280652051506784,0.6249122476341878
buried_1_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_1_model_5_7,buried_1_model_5_4,6,88.2353,0.7368,0.5714,2.3045,29.87,Stable,>10 h,0.8172319584454625,0.5048055822051393
buried_1_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_1_model_8_9,buried_1_model_8_0,1,100.0,0.3333,0.5079,0.6205,20.48,Stable,>10 h,0.9133771038183892,0.5971027453464245
buried_2_model_2,Conditional_selected,buried_2_model_2_0,buried_2_model_2_b0_d0,1,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.7368,0.619,0.6535,0.5102,-9.31,Stable,>10 h,0.8872512870037385,0.5126403522721279
buried_2_model_3,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_2_model_3_1,,0,100.0,0.5882,0.4752,0.4037,54.54,Potentially unstable,>10 h,0.9204246719373076,0.6449299834238468
buried_2_model_8,Conditional_selected,buried_2_model_8_2,buried_2_model_8_b0_d2,3,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90;pocket_RMSD_above_1A,Docking_first_review_before_MD,,,,0,75.0,0.7368,0.4653,1.0241,38.44,Stable,>10 h,0.8565807954512568,0.4478041402766154
buried_2_model_9,Conditional_selected,buried_2_model_9_2,buried_2_model_9_b0_d2,3,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.5,0.5842,0.4763,18.56,Stable,>10 h,0.9204529693786488,0.516092618738838
