backbone_id,sample_id,matched_CA_atom_count,global_ca_rmsd_A,global_backbone_rmsd_after_CA_fit_A,pocket_ca_rmsd_after_CA_fit_A,pocket_backbone_rmsd_after_CA_fit_A,ref_ca_rg_A,pred_ca_rg_A,delta_ca_rg_A,projected_min_protein_ligand_distance_A,projected_delta_ligand_clash_pair_count,projected_ligand_clash_pair_count_backbone,projected_ligand_clash_pair_count_sidechain,reference_contact_position_count,projected_contact_position_count,projected_contact_recovery_percent,projected_new_contact_percent,reference_hydrophobic_C_contact_pair_count,projected_hydrophobic_C_contact_pair_count,pred_mean_CA_Bfactor,pred_pocket_mean_CA_Bfactor,d_index,candidate_id,half_life_E_coli_in_vivo,instability_index,ligand_interface_sequence_recovery,sequence_recovery,stability_prediction,Sequence ID,solubility,usability,ligand_clash_total,is_stable,is_clash_free,is_full_contact_recovery,strict_gate_pass,conditional_gate_pass,accepted_representative,decision_status,selection_pool_rank,decision_note
buried_0_model_5,1,104,0.4341,0.4297,0.4397,0.441,13.0318,12.9339,-0.0978,2.3664,0,0,0,13,15,100.0,13.3333,40,44,0.8665,0.8715,0,buried_0_model_5_0,>10 h,17.18,0.3333,0.4712,Stable,buried_0_model_5_b0_d0,0.8322174956611391,0.4583712175848754,0,True,True,True,True,True,False,Strict_selected,2.0,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,2,104,1.393,1.3438,1.6641,1.5315,13.0318,12.7803,-0.2515,1.6622,5,0,5,13,15,92.3077,20.0,40,66,0.8486,0.8563,1,buried_0_model_5_1,>10 h,14.34,0.4667,0.5192,Stable,buried_0_model_5_b0_d1,0.8287625141902909,0.4144824803331749,5,True,False,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,3,104,0.4608,0.4615,0.4394,0.4496,13.0318,12.9356,-0.0962,2.0592,0,0,0,13,15,92.3077,20.0,40,44,0.8655,0.8718,2,buried_0_model_5_2,>10 h,29.85,0.5333,0.5096,Stable,buried_0_model_5_b0_d2,0.8251637209661979,0.4609982474546613,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,4,104,0.53,0.5235,0.6041,0.568,13.0318,12.8823,-0.1494,0.9556,3,0,3,13,15,92.3077,20.0,40,47,0.8688,0.8752,3,buried_0_model_5_3,>10 h,26.96,0.3333,0.5385,Stable,buried_0_model_5_b0_d3,0.8059793515079339,0.3856081211029486,3,True,False,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,5,104,0.4569,0.4558,0.4254,0.4412,13.0318,12.9188,-0.113,2.3673,0,0,0,13,16,100.0,18.75,40,47,0.8808,0.8878,4,buried_0_model_5_4,>10 h,20.87,0.3333,0.4615,Stable,buried_0_model_5_b0_d4,0.841267165095217,0.4572733746867888,0,True,True,True,True,True,False,Strict_selected,3.0,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,6,104,0.85,0.841,0.9195,0.839,13.0318,12.9311,-0.1007,2.4493,0,0,0,13,13,76.9231,23.0769,40,45,0.8568,0.8613,5,buried_0_model_5_5,>10 h,29.95,0.4,0.4904,Stable,buried_0_model_5_b0_d5,0.8205736529263412,0.4580629009750014,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,7,104,0.5404,0.5358,0.5015,0.4979,13.0318,12.878,-0.1537,2.2286,0,0,0,13,15,100.0,13.3333,40,53,0.8697,0.8746,6,buried_0_model_5_6,>10 h,35.21,0.4667,0.4615,Stable,buried_0_model_5_b0_d6,0.8090796391283467,0.4475967878375438,0,True,True,True,True,True,True,Strict_selected,1.0,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,8,104,0.5043,0.4974,0.541,0.5346,13.0318,12.978,-0.0537,1.3313,1,0,1,13,14,92.3077,14.2857,40,46,0.8791,0.8846,7,buried_0_model_5_7,>10 h,29.07,0.4667,0.5,Stable,buried_0_model_5_b0_d7,0.8195901690969487,0.4214942495331129,1,True,False,False,False,False,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,9,104,0.4021,0.3979,0.4121,0.4069,13.0318,12.9035,-0.1282,2.5138,0,0,0,13,15,92.3077,20.0,40,51,0.8512,0.8571,8,buried_0_model_5_8,>10 h,6.08,0.4,0.5385,Stable,buried_0_model_5_b0_d8,0.861482731764706,0.5012138251733343,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_5,10,104,0.9378,0.9151,0.925,0.8388,13.0318,12.8723,-0.1595,2.7101,0,0,0,13,17,84.6154,35.2941,40,39,0.8529,0.8564,9,buried_0_model_5_9,>10 h,29.67,0.4,0.5096,Stable,buried_0_model_5_b0_d9,0.8479366833161246,0.5204937438543994,0,True,True,False,False,True,False,Strict_selected,,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery."
buried_0_model_6,1,104,2.1288,1.9724,2.5069,2.2827,12.5329,12.614,0.0811,1.0342,2,0,2,15,17,60.0,47.0588,9,47,0.8266,0.8164,0,buried_0_model_6_0,>10 h,33.96,0.2105,0.3942,Stable,buried_0_model_6_b0_d0,0.906936466747892,0.4514941040013502,2,True,False,False,False,False,False,Rejected_repair_required,2.0,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,2,104,1.6432,1.6037,2.159,2.1109,12.5329,12.4488,-0.084,1.148,2,1,1,15,19,80.0,36.8421,9,57,0.8422,0.8276,1,buried_0_model_6_1,>10 h,46.61,0.2105,0.4231,Potentially unstable,buried_0_model_6_b0_d1,0.7941406950502575,0.4148706389216605,2,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,3,104,1.2552,1.2244,1.4236,1.4505,12.5329,12.3606,-0.1723,0.5418,9,0,9,15,20,86.6667,35.0,9,64,0.837,0.8244,2,buried_0_model_6_2,>10 h,48.48,0.2105,0.3846,Potentially unstable,buried_0_model_6_b0_d2,0.9132272052631768,0.5587375850939805,9,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,4,104,1.564,1.5287,1.6996,1.6516,12.5329,12.3503,-0.1825,0.851,1,0,1,15,17,80.0,29.4118,9,62,0.835,0.8187,3,buried_0_model_6_3,>10 h,54.35,0.2105,0.3942,Potentially unstable,buried_0_model_6_b0_d3,0.8888687729543445,0.4571485751937828,1,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,5,104,1.7814,1.7675,1.8232,1.856,12.5329,12.2829,-0.25,0.2583,10,0,10,15,19,86.6667,31.5789,9,85,0.8383,0.8241,4,buried_0_model_6_4,>10 h,46.94,0.2632,0.3846,Potentially unstable,buried_0_model_6_b0_d4,0.8947288613471235,0.4702773059565895,10,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,6,104,1.8898,1.8405,1.7677,1.7314,12.5329,12.2761,-0.2567,1.9713,1,0,1,15,17,86.6667,23.5294,9,43,0.8463,0.8342,5,buried_0_model_6_5,>10 h,38.8,0.2632,0.4519,Stable,buried_0_model_6_b0_d5,0.8889192445467822,0.5498064216522387,1,True,False,False,False,False,False,Rejected_repair_required,1.0,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
buried_0_model_6,7,104,1.6704,1.6121,1.7973,1.7648,12.5329,12.3383,-0.1946,0.3677,12,0,12,15,17,86.6667,23.5294,9,83,0.8512,0.8387,6,buried_0_model_6_6,>10 h,42.53,0.2105,0.375,Potentially unstable,buried_0_model_6_b0_d6,0.8587820169732782,0.522076418522046,12,False,False,False,False,False,False,Rejected_repair_required,,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.
