backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_0_model_0,Strict_selected,buried_0_model_0_0,buried_0_model_2_b0_d0,1,2,3,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4,0.4625,0.5923,35.07,Stable,>10 h,0.9197286777913096,0.7243426514700176
buried_0_model_2,Strict_selected,buried_0_model_2_3,buried_0_model_2_b0_d3,4,3,3,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.7143,0.375,0.5604,34.19,Stable,>10 h,0.920707188260813,0.7082482199071982
buried_0_model_3,Strict_selected,buried_0_model_3_3,buried_0_model_3_b0_d3,4,5,9,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5,0.5375,0.5211,5.68,Stable,>10 h,0.860257562031785,0.499497600187445
buried_0_model_4,Conditional_selected,buried_0_model_4_7,buried_0_model_4_b0_d7,8,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,92.3077,0.8235,0.6,0.393,28.22,Stable,>10 h,0.9320737841265164,0.6612094385385076
buried_0_model_5,Strict_selected,buried_0_model_5_6,buried_0_model_5_b0_d6,7,5,10,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.6429,0.4875,0.2526,25.39,Stable,>10 h,0.9614167558370458,0.825243941193097
buried_0_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_6_3,buried_0_model_6_6,13,75.0,0.4667,0.4125,1.0433,39.46,Stable,>10 h,0.9267433600879692,0.7307611319926551
buried_0_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_7_2,buried_0_model_7_0,3,77.7778,0.4167,0.55,1.0667,13.42,Stable,>10 h,0.9020706806808076,0.5130520739800936
buried_0_model_8,Conditional_selected,buried_0_model_8_7,buried_0_model_8_b0_d7,8,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,91.6667,0.8125,0.6125,0.4903,24.55,Stable,>10 h,0.8793270251657173,0.3405660225336557
buried_1_model_0,Conditional_selected,buried_1_model_0_1,buried_1_model_0_b0_d1,2,0,4,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",pocket_RMSD_above_1A,Docking_first_review_before_MD,,,,0,92.3077,0.6875,0.6635,1.4237,18.38,Stable,>10 h,0.8587923607243031,0.4454177325260538
buried_1_model_3,Strict_selected,buried_1_model_3_0,buried_1_model_3_b0_d0,1,4,4,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.8333,0.5192,0.3633,37.4,Stable,>10 h,0.7615851099731114,0.393324427843258
