Sequence ID	solubility	usability
partial_3_model_8_b0_d0	0.9212661649382752	0.7330195581724833
partial_3_model_8_b0_d1	0.9391344600410232	0.7920025889754728
partial_3_model_8_b0_d2	0.91438748583802	0.678855580315523
partial_3_model_8_b0_d3	0.9272502407112692	0.7147352954878394
partial_3_model_8_b0_d4	0.9333239953692044	0.6976663837219368
partial_3_model_8_b0_d5	0.931849145919003	0.7594558615231028
partial_3_model_8_b0_d6	0.8817646496887759	0.6578238044356839
partial_3_model_8_b0_d7	0.9171790731187756	0.7293525684745756
partial_3_model_8_b0_d8	0.9220034733967132	0.7286267217928886
partial_3_model_8_b0_d9	0.9427248160112572	0.8093560744037196
