backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_0_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_6_3,buried_0_model_6_6,13,75.0,0.4667,0.4125,1.0433,39.46,Stable,>10 h,0.9267433600879692,0.7307611319926551
buried_0_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_0_model_7_2,buried_0_model_7_0,3,77.7778,0.4167,0.55,1.0667,13.42,Stable,>10 h,0.9020706806808076,0.5130520739800936
buried_1_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_1_model_6_6,buried_1_model_6_9,2,81.8182,0.5,0.5769,0.4896,28.44,Stable,>10 h,0.8533759218639455,0.546624057391276
buried_1_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_1_model_7_7,buried_1_model_7_8,0,92.3077,0.8667,0.5481,0.7404,46.99,Potentially unstable,>10 h,0.7439243032509681,0.4148633091463874
buried_2_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_2_model_9_4,buried_2_model_9_5,3,90.9091,0.2857,0.4576,1.4385,32.77,Stable,>10 h,0.8381441388190719,0.4402484297103413
buried_3_model_0,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_3_model_0_1,,0,100.0,0.5455,0.4701,0.7463,47.35,Potentially unstable,2 min,0.9244608269979984,0.6416281174076931
buried_3_model_2,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_3_model_2_7,buried_3_model_2_8,10,92.3077,0.5385,0.4444,2.1381,36.15,Stable,>10 h,0.9395384987076136,0.7901300700889384
buried_3_model_7,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_3_model_7_7,buried_3_model_7_2,4,100.0,0.4667,0.4872,0.6955,38.32,Stable,>10 h,0.8538492579966448,0.5408487646073689
buried_3_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Redesign_required_no_stable_candidate,buried_3_model_9_9,buried_3_model_9_1,1,80.0,0.8182,0.5385,1.4601,49.76,Potentially unstable,>10 h,0.7891206377145605,0.4749153538227893
buried_4_model_2,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_4_model_2_4,buried_4_model_2_3,8,80.0,0.5,0.5238,2.4987,24.44,Stable,>10 h,0.780235379088257,0.4812410170240437
buried_4_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Stability_optimization_of_clash_free_candidate,buried_4_model_9_6,buried_4_model_9_8,0,92.3077,0.5714,0.381,0.4095,57.64,Potentially unstable,>10 h,0.9126903097479226,0.6278361995864186
buried_5_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_6_3,buried_5_model_6_6,1,100.0,0.6429,0.3929,0.61,33.29,Stable,>10 h,0.923341579082174,0.6399754148148976
buried_5_model_9,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_5_model_9_4,buried_5_model_9_7,1,100.0,0.4615,0.5804,0.2485,28.81,Stable,>10 h,0.8675504686252691,0.5923176541531182
buried_6_model_2,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_2_3,buried_6_model_2_9,7,91.6667,0.5714,0.43,0.9121,34.88,Stable,>10 h,0.9369768941426146,0.7694928493117781
buried_6_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_5_7,buried_6_model_5_2,1,77.7778,0.3077,0.44,2.6087,33.25,Stable,>10 h,0.8933237042783961,0.6471740692958559
buried_6_model_6,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_6_model_6_8,buried_6_model_6_0,5,80.0,0.5455,0.49,1.5785,37.13,Stable,>10 h,0.7548489506912998,0.4046769230055801
buried_7_model_1,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_7_model_1_0,buried_7_model_1_1,5,80.0,0.4545,0.5088,1.6667,32.75,Stable,>10 h,0.8422444134670825,0.5306622448148863
buried_8_model_1,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_1_5,buried_8_model_1_4,1,78.5714,0.5333,0.5604,0.5814,9.74,Stable,>10 h,0.8588953621808637,0.5171645135233682
buried_8_model_5,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_5_9,buried_8_model_5_6,1,78.5714,0.7059,0.4176,0.5356,13.71,Stable,>10 h,0.9290054838621188,0.7486251022654772
buried_8_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_8_model_8_4,buried_8_model_8_0,2,69.2308,0.6429,0.4505,2.8257,29.79,Stable,>10 h,0.8644642904864825,0.5054143763291803
buried_9_model_8,Rejected_repair_required,,,,0,0,Repair,No Stable and clash-free candidate exists; backbone excluded from accepted docking set. Repair candidates are recorded for redesign only.,not_accepted,Do_not_dock_until_repaired,Clash_removal_from_stable_candidate,buried_9_model_8_8,buried_9_model_8_4,2,81.8182,0.7273,0.3879,2.9179,28.27,Stable,>10 h,0.79850330951065,0.4365097063763537
