"receptor_id","receptor_input_pdb","receptor_pdbqt","pdbqt_created","exit_code","log_file"
"buried_0_model_5_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_5_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_5_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_5_sample7_model_mk_prepare_receptor.log"
"buried_0_model_7_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_7_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_7_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_7_sample1_model_mk_prepare_receptor.log"
"buried_0_model_9_sample9_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_9_sample9_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_9_sample9_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_9_sample9_model_mk_prepare_receptor.log"
"buried_1_model_0_sample8_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_0_sample8_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_1_model_0_sample8_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_1_model_0_sample8_model_mk_prepare_receptor.log"
"buried_1_model_1_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_1_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_1_model_1_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_1_model_1_sample1_model_mk_prepare_receptor.log"
"buried_2_model_2_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_2_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_2_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_2_sample1_model_mk_prepare_receptor.log"
"buried_2_model_8_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_8_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_8_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_8_sample3_model_mk_prepare_receptor.log"
"buried_2_model_9_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_9_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_9_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_9_sample3_model_mk_prepare_receptor.log"
"buried_3_model_5_sample5_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_5_sample5_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_3_model_5_sample5_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_3_model_5_sample5_model_mk_prepare_receptor.log"
"buried_3_model_6_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_6_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_3_model_6_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_3_model_6_sample3_model_mk_prepare_receptor.log"
