backbone_id,decision_status,accepted_candidate_id,accepted_sequence_id,sample_id,strict_candidate_count,conditional_candidate_count,selection_pool,selection_reason,risk_flags,md_priority,repair_focus,repair_candidate_id,repair_alternative_id,ligand_clash_total,contact_recovery_percent,ligand_interface_sequence_recovery,sequence_recovery,pocket_backbone_rmsd_A,instability_index,stability_prediction,half_life_E_coli_in_vivo,solubility,usability
buried_0_model_5,Strict_selected,buried_0_model_5_6,buried_0_model_5_b0_d6,7,3,7,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4667,0.4615,0.4979,35.21,Stable,>10 h,0.8090796391283467,0.4475967878375438
buried_0_model_7,Conditional_selected,buried_0_model_7_0,buried_0_model_7_b0_d0,1,0,7,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,95.0,0.6522,0.6058,0.6781,26.21,Stable,>10 h,0.8298215950677928,0.4593640215564815
buried_0_model_9,Conditional_selected,buried_0_model_9_8,buried_0_model_9_b0_d8,9,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,88.8889,0.35,0.4423,0.6523,23.54,Stable,>10 h,0.9076916434586728,0.7512296390945583
buried_1_model_0,Strict_selected,buried_1_model_0_7,buried_1_model_0_b0_d7,8,1,6,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4348,0.4365,0.4451,33.27,Stable,2 min,0.9139999743225988,0.7570547107206858
buried_1_model_1,Conditional_selected,buried_1_model_1_0,buried_1_model_1_b0_d0,1,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,80.0,0.6818,0.5476,0.49,17.24,Stable,>10 h,0.8697853604610428,0.5189431326584769
buried_2_model_2,Conditional_selected,buried_2_model_2_0,buried_2_model_2_b0_d0,1,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.7368,0.619,0.6535,0.5102,-9.31,Stable,>10 h,0.8872512870037385,0.5126403522721279
buried_2_model_8,Conditional_selected,buried_2_model_8_2,buried_2_model_8_b0_d2,3,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90;pocket_RMSD_above_1A,Docking_first_review_before_MD,,,,0,75.0,0.7368,0.4653,1.0241,38.44,Stable,>10 h,0.8565807954512568,0.4478041402766154
buried_2_model_9,Conditional_selected,buried_2_model_9_2,buried_2_model_9_b0_d2,3,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.5,0.5842,0.4763,18.56,Stable,>10 h,0.9204529693786488,0.516092618738838
buried_3_model_5,Strict_selected,buried_3_model_5_4,buried_3_model_5_b0_d4,5,2,9,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5333,0.6,0.8598,16.61,Stable,>10 h,0.7236559732092683,0.356689870652242
buried_3_model_6,Conditional_selected,buried_3_model_6_2,buried_3_model_6_b0_d2,3,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,84.2105,0.45,0.4966,0.608,27.02,Stable,>10 h,0.8091124463135868,0.4729155347411053
buried_4_model_0,Strict_selected,buried_4_model_0_8,buried_4_model_0_b0_d8,9,1,1,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.4118,0.4035,0.4776,25.12,Stable,>10 h,0.8908021183200479,0.5998877545253652
buried_4_model_3,Conditional_selected,buried_4_model_3_7,buried_4_model_3_b0_d7,8,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.7368,0.6364,0.4737,0.3562,33.57,Stable,>10 h,0.834869460312657,0.4712511724425859
buried_4_model_4,Conditional_selected,buried_4_model_4_6,buried_4_model_4_b0_d6,7,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.3684,0.3684,0.572,32.63,Stable,>10 h,0.904954381882154,0.744323937660968
buried_4_model_5,Conditional_selected,buried_4_model_5_0,buried_4_model_5_b0_d0,1,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,88.8889,0.4286,0.3947,0.6559,21.37,Stable,>10 h,0.8969851423798675,0.6583940676833254
buried_4_model_6,Conditional_selected,buried_4_model_6_6,buried_4_model_6_b0_d6,7,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,93.3333,0.6,0.4737,0.8642,25.73,Stable,>10 h,0.7795132649448997,0.4537964139117365
buried_5_model_0,Conditional_selected,buried_5_model_0_4,buried_5_model_0_b0_d4,5,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,75.0,0.7143,0.5841,0.4128,10.96,Stable,>10 h,0.8912346436954695,0.5447063223862338
buried_5_model_1,Strict_selected,buried_5_model_1_3,buried_5_model_1_b0_d3,4,1,2,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.6667,0.5664,0.8004,10.14,Stable,>10 h,0.909331153228062,0.5715762508555088
buried_5_model_3,Conditional_selected,buried_5_model_3_5,buried_5_model_3_b0_d5,6,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90;pocket_RMSD_above_1A,Docking_first_review_before_MD,,,,0,88.2353,0.4211,0.4071,2.0665,39.77,Stable,>10 h,0.7974429281034545,0.4235110416312292
buried_5_model_6,Strict_selected,buried_5_model_6_7,buried_5_model_6_b0_d7,8,1,4,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5,0.4956,0.4987,12.66,Stable,>10 h,0.932158988515708,0.6499341836966592
buried_5_model_9,Strict_selected,buried_5_model_9_6,buried_5_model_9_b0_d6,7,7,9,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5714,0.5664,0.4942,28.13,Stable,>10 h,0.9168022499013108,0.6453372387764814
buried_6_model_1,Conditional_selected,buried_6_model_1_4,buried_6_model_1_b0_d4,5,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,94.1176,0.5294,0.5789,0.487,37.12,Stable,>10 h,0.8860681303286337,0.5944910471167761
buried_6_model_3,Conditional_selected,buried_6_model_3_1,buried_6_model_3_b0_d1,2,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,84.2105,0.45,0.4662,0.6562,34.03,Stable,>10 h,0.8698003007370942,0.5115843240160691
buried_6_model_5,Strict_selected,buried_6_model_5_2,buried_6_model_5_b0_d2,3,1,7,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5,0.4436,0.3515,30.84,Stable,>10 h,0.801003324935438,0.3988875638642966
buried_6_model_7,Conditional_selected,buried_6_model_7_9,buried_6_model_7_b0_d9,10,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,87.5,0.5909,0.4436,0.5188,29.92,Stable,2 min,0.9164910847137328,0.5704427233674189
buried_6_model_8,Conditional_selected,buried_6_model_8_8,buried_6_model_8_b0_d8,9,0,2,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,92.3077,0.5333,0.4962,0.5772,36.51,Stable,>10 h,0.749283469578062,0.2907628513642091
buried_7_model_0,Conditional_selected,buried_7_model_0_2,buried_7_model_0_b0_d2,3,0,1,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,75.0,0.4545,0.5474,0.4864,18.64,Stable,>10 h,0.9047010188952458,0.5330720952726509
buried_7_model_2,Conditional_selected,buried_7_model_2_3,buried_7_model_2_b0_d3,4,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",contact_recovery_below_90,Docking_first_review_before_MD,,,,0,76.1905,0.3478,0.3942,0.4214,36.76,Stable,>10 h,0.9173375017693424,0.5550835353103334
buried_7_model_7,Strict_selected,buried_7_model_7_4,buried_7_model_7_b0_d4,5,1,3,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5833,0.438,0.5188,37.22,Stable,>10 h,0.8922033751035151,0.3687821691881784
buried_7_model_9,Strict_selected,buried_7_model_9_3,buried_7_model_9_b0_d3,4,1,2,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.65,0.5474,0.7848,30.95,Stable,>10 h,0.8285897531641547,0.4520223649341653
buried_8_model_1,Strict_selected,buried_8_model_1_7,buried_8_model_1_b0_d7,8,1,4,Strict,"Stable; clash-free; 100% contact recovery; ranked within strict pool by interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_and_MD_candidate,,,,0,100.0,0.5263,0.4583,0.795,34.06,Stable,>10 h,0.7214463807919241,0.3977140266108417
buried_8_model_2,Conditional_selected,buried_8_model_2_6,buried_8_model_2_b0_d6,7,0,3,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,91.3043,0.4583,0.5417,0.5804,28.31,Stable,>10 h,0.8437484540102871,0.4638553419802573
buried_8_model_3,Conditional_selected,buried_8_model_3_3,buried_8_model_3_b0_d3,4,0,4,Conditional,"No strict candidate; selected from Stable clash-free pool by contact recovery, interface recovery, pocket RMSD, instability, usability, solubility and sequence recovery.",None,Docking_first_review_before_MD,,,,0,93.3333,0.4737,0.5347,0.4989,35.2,Stable,2 min,0.8895028980733789,0.5724415495243841
